Tom Wheeler, http://transition.fcc.gov/fcc-bin/tw.cgi
Mignon Clyburn, http://transition.fcc.gov/fcc-bin/mc.cgi
Jessica Rosenworcel, http://transition.fcc.gov/fcc-bin/jr.cgi
Ajit Pai, http://transition.fcc.gov/fcc-bin/ap.cgi
Michael O Rielly, http://transition.fcc.gov/fcc-bin/mo.cgi
